first_reactor_decision second_reactor_decision final_reactor_decision chosen_reprocessing_cost chosen_capital_subsidy disposal_cost htgr_capital_cost sfr_capital_cost 
0 0 0 0 0 0 0 0
year lwr_gencap htgr_gencap sfr_gencap
2018 100.0 0.0 0.0 
2019 101.45454545454545 0.0 0.0 
2020 103.9090909090909 0.0 0.0 
2021 106.36363636363636 0.0 0.0 
2022 108.81818181818181 0.0 0.0 
2023 111.27272727272727 0.0 0.0 
2024 113.72727272727272 0.0 0.0 
2025 116.18181818181817 0.0 0.0 
2026 119.63636363636363 0.0 0.0 
2027 122.09090909090908 0.0 0.0 
2028 124.54545454545453 0.0 0.0 
2029 127.99999999999999 0.0 0.0 
2030 130.45454545454544 0.0 0.0 
2031 133.90909090909088 0.0 0.0 
2032 136.36363636363635 0.0 0.0 
2033 139.8181818181818 0.0 0.0 
2034 143.27272727272725 0.0 0.0 
2035 146.7272727272727 0.0 0.0 
2036 150.18181818181816 0.0 0.0 
2037 153.63636363636363 0.0 0.0 
2038 157.09090909090907 0.0 0.0 
2039 160.5454545454545 0.0 0.0 
2040 163.99999999999997 0.0 0.0 
2041 168.0 0.0 0.0 
2042 172.0 0.0 0.0 
2043 176.0 0.0 0.0 
2044 180.0 0.0 0.0 
2045 184.0 0.0 0.0 
2046 188.0 0.0 0.0 
2047 193.0 0.0 0.0 
2048 197.0 0.0 0.0 
2049 202.0 0.0 0.0 
2050 206.0 0.0 0.0 
2051 211.0 0.0 0.0 
2052 216.0 0.0 0.0 
2053 221.0 0.0 0.0 
2054 226.0 0.0 0.0 
2055 231.0 0.0 0.0 
2056 237.0 0.0 0.0 
2057 242.0 0.0 0.0 
2058 248.0 0.0 0.0 
2059 253.0 0.0 0.0 
2060 259.0 0.0 0.0 
2061 265.0 0.0 0.0 
2062 271.0 0.0 0.0 
2063 277.0 0.0 0.0 
2064 284.0 0.0 0.0 
2065 290.0 0.0 0.0 
2066 297.0 0.0 0.0 
2067 304.0 0.0 0.0 
2068 311.0 0.0 0.0 
2069 318.0 0.0 0.0 
2070 325.0 0.0 0.0 
2071 333.0 0.0 0.0 
2072 341.0 0.0 0.0 
2073 349.0 0.0 0.0 
2074 357.0 0.0 0.0 
2075 365.0 0.0 0.0 
2076 373.0 0.0 0.0 
2077 382.0 0.0 0.0 
2078 391.0 0.0 0.0 
2079 400.0 0.0 0.0 
2080 409.0 0.0 0.0 
2081 418.0 0.0 0.0 
2082 428.0 0.0 0.0 
2083 438.0 0.0 0.0 
2084 448.0 0.0 0.0 
2085 458.0 0.0 0.0 
2086 469.0 0.0 0.0 
2087 479.0 0.0 0.0 
2088 490.0 0.0 0.0 
2089 502.0 0.0 0.0 
2090 513.0 0.0 0.0 
2091 525.0 0.0 0.0 
2092 537.0 0.0 0.0 
2093 550.0 0.0 0.0 
2094 562.0 0.0 0.0 
2095 575.0 0.0 0.0 
2096 588.0 0.0 0.0 
2097 602.0 0.0 0.0 
2098 616.0 0.0 0.0 
2099 630.0 0.0 0.0 
2100 645.0 0.0 0.0 
