u_first u_second u_last g_one g_two disp_cost htgr_cost sfr_cost coe heat_load ns_measure
0 0 0 0 0 0 0 0 0.6054215857546892 0.0 1.0
0 0 0 0 0 0 0 1 0.6054215857546892 0.0 1.0
0 0 0 0 0 0 0 2 0.6054215857546892 0.0 1.0
0 0 0 0 0 0 1 0 0.6054215857546892 0.0 1.0
0 0 0 0 0 0 1 1 0.6054215857546892 0.0 1.0
0 0 0 0 0 0 1 2 0.6054215857546892 0.0 1.0
0 0 0 0 0 0 2 0 0.6054215857546892 0.0 1.0
0 0 0 0 0 0 2 1 0.6054215857546892 0.0 1.0
0 0 0 0 0 0 2 2 0.6054215857546892 0.0 1.0
0 0 0 0 0 1 0 0 0.4555229688390763 0.0 1.0
0 0 0 0 0 1 0 1 0.4555229688390763 0.0 1.0
0 0 0 0 0 1 0 2 0.4555229688390763 0.0 1.0
0 0 0 0 0 1 1 0 0.4555229688390763 0.0 1.0
0 0 0 0 0 1 1 1 0.4555229688390763 0.0 1.0
0 0 0 0 0 1 1 2 0.4555229688390763 0.0 1.0
0 0 0 0 0 1 2 0 0.4555229688390763 0.0 1.0
0 0 0 0 0 1 2 1 0.4555229688390763 0.0 1.0
0 0 0 0 0 1 2 2 0.4555229688390763 0.0 1.0
0 0 0 0 0 2 0 0 0.390392347078803 0.0 1.0
0 0 0 0 0 2 0 1 0.390392347078803 0.0 1.0
0 0 0 0 0 2 0 2 0.390392347078803 0.0 1.0
0 0 0 0 0 2 1 0 0.390392347078803 0.0 1.0
0 0 0 0 0 2 1 1 0.390392347078803 0.0 1.0
0 0 0 0 0 2 1 2 0.390392347078803 0.0 1.0
0 0 0 0 0 2 2 0 0.390392347078803 0.0 1.0
0 0 0 0 0 2 2 1 0.390392347078803 0.0 1.0
0 0 0 0 0 2 2 2 0.390392347078803 0.0 1.0
0 0 0 0 0 3 0 0 0.3295164895541228 0.0 1.0
0 0 0 0 0 3 0 1 0.3295164895541228 0.0 1.0
0 0 0 0 0 3 0 2 0.3295164895541228 0.0 1.0
0 0 0 0 0 3 1 0 0.3295164895541228 0.0 1.0
0 0 0 0 0 3 1 1 0.3295164895541228 0.0 1.0
0 0 0 0 0 3 1 2 0.3295164895541228 0.0 1.0
0 0 0 0 0 3 2 0 0.3295164895541228 0.0 1.0
0 0 0 0 0 3 2 1 0.3295164895541228 0.0 1.0
0 0 0 0 0 3 2 2 0.3295164895541228 0.0 1.0
0 0 0 0 1 0 0 0 0.6053666638266173 0.0 1.0
0 0 0 0 1 0 0 1 0.6053666638266173 0.0 1.0
0 0 0 0 1 0 0 2 0.6053666638266173 0.0 1.0
0 0 0 0 1 0 1 0 0.6053666638266173 0.0 1.0
0 0 0 0 1 0 1 1 0.6053666638266173 0.0 1.0
0 0 0 0 1 0 1 2 0.6053666638266173 0.0 1.0
0 0 0 0 1 0 2 0 0.6053666638266173 0.0 1.0
0 0 0 0 1 0 2 1 0.6053666638266173 0.0 1.0
0 0 0 0 1 0 2 2 0.6053666638266173 0.0 1.0
0 0 0 0 1 1 0 0 0.45546804691100673 0.0 1.0
0 0 0 0 1 1 0 1 0.45546804691100673 0.0 1.0
0 0 0 0 1 1 0 2 0.45546804691100673 0.0 1.0
0 0 0 0 1 1 1 0 0.45546804691100673 0.0 1.0
0 0 0 0 1 1 1 1 0.45546804691100673 0.0 1.0
0 0 0 0 1 1 1 2 0.45546804691100673 0.0 1.0
0 0 0 0 1 1 2 0 0.45546804691100673 0.0 1.0
0 0 0 0 1 1 2 1 0.45546804691100673 0.0 1.0
0 0 0 0 1 1 2 2 0.45546804691100673 0.0 1.0
0 0 0 0 1 2 0 0 0.39033742515073133 0.0 1.0
0 0 0 0 1 2 0 1 0.39033742515073133 0.0 1.0
0 0 0 0 1 2 0 2 0.39033742515073133 0.0 1.0
0 0 0 0 1 2 1 0 0.39033742515073133 0.0 1.0
0 0 0 0 1 2 1 1 0.39033742515073133 0.0 1.0
0 0 0 0 1 2 1 2 0.39033742515073133 0.0 1.0
0 0 0 0 1 2 2 0 0.39033742515073133 0.0 1.0
0 0 0 0 1 2 2 1 0.39033742515073133 0.0 1.0
0 0 0 0 1 2 2 2 0.39033742515073133 0.0 1.0
0 0 0 0 1 3 0 0 0.32946156762605316 0.0 1.0
0 0 0 0 1 3 0 1 0.32946156762605316 0.0 1.0
0 0 0 0 1 3 0 2 0.32946156762605316 0.0 1.0
0 0 0 0 1 3 1 0 0.32946156762605316 0.0 1.0
0 0 0 0 1 3 1 1 0.32946156762605316 0.0 1.0
0 0 0 0 1 3 1 2 0.32946156762605316 0.0 1.0
0 0 0 0 1 3 2 0 0.32946156762605316 0.0 1.0
0 0 0 0 1 3 2 1 0.32946156762605316 0.0 1.0
0 0 0 0 1 3 2 2 0.32946156762605316 0.0 1.0
0 0 0 0 2 0 0 0 0.6053666638266173 0.0 1.0
0 0 0 0 2 0 0 1 0.6053666638266173 0.0 1.0
0 0 0 0 2 0 0 2 0.6053666638266173 0.0 1.0
0 0 0 0 2 0 1 0 0.6053666638266173 0.0 1.0
0 0 0 0 2 0 1 1 0.6053666638266173 0.0 1.0
0 0 0 0 2 0 1 2 0.6053666638266173 0.0 1.0
0 0 0 0 2 0 2 0 0.6053666638266173 0.0 1.0
0 0 0 0 2 0 2 1 0.6053666638266173 0.0 1.0
0 0 0 0 2 0 2 2 0.6053666638266173 0.0 1.0
0 0 0 0 2 1 0 0 0.45546804691100673 0.0 1.0
0 0 0 0 2 1 0 1 0.45546804691100673 0.0 1.0
0 0 0 0 2 1 0 2 0.45546804691100673 0.0 1.0
0 0 0 0 2 1 1 0 0.45546804691100673 0.0 1.0
0 0 0 0 2 1 1 1 0.45546804691100673 0.0 1.0
0 0 0 0 2 1 1 2 0.45546804691100673 0.0 1.0
0 0 0 0 2 1 2 0 0.45546804691100673 0.0 1.0
0 0 0 0 2 1 2 1 0.45546804691100673 0.0 1.0
0 0 0 0 2 1 2 2 0.45546804691100673 0.0 1.0
0 0 0 0 2 2 0 0 0.39033742515073133 0.0 1.0
0 0 0 0 2 2 0 1 0.39033742515073133 0.0 1.0
0 0 0 0 2 2 0 2 0.39033742515073133 0.0 1.0
0 0 0 0 2 2 1 0 0.39033742515073133 0.0 1.0
0 0 0 0 2 2 1 1 0.39033742515073133 0.0 1.0
0 0 0 0 2 2 1 2 0.39033742515073133 0.0 1.0
0 0 0 0 2 2 2 0 0.39033742515073133 0.0 1.0
0 0 0 0 2 2 2 1 0.39033742515073133 0.0 1.0
0 0 0 0 2 2 2 2 0.39033742515073133 0.0 1.0
0 0 0 0 2 3 0 0 0.32946156762605316 0.0 1.0
