first_reactor_decision second_reactor_decision final_reactor_decision chosen_reprocessing_cost chosen_capital_subsidy disposal_cost htgr_capital_cost sfr_capital_cost 3 3 3 1 1 1 1 1
year decayheat
2020 3209.8330241186777
2021 3241.9313543598646
2022 3274.0296846010515
2023 3402.4230055657986
2024 3434.5213358069855
2025 3562.9146567717326
2026 3595.0129870129194
2027 3723.4063079776665
2028 3755.5046382188534
2029 3883.8979591836005
2030 3915.9962894247874
2031 4044.389610389534
2032 959053.3484230053
2033 2661317.254174397
2034 2742578.849721707
2035 2823840.4452690165
2036 2727775.730350185
2037 2631467.788556354
2038 2535159.846762523
2039 2439095.131843692
2040 2342787.190049861
2041 2344894.293315167
2042 2346758.169705473
2043 2348865.272970779
2044 2351215.6031110855
2045 2353322.7063763915
2046 2353967.859437616
2047 2354774.3007641463
2048 2357124.630904453
2049 2360286.5802794527
2050 2363448.529654453
2051 2366367.2521544527
2052 2367173.6934809834
2053 2368630.4657769017
2054 2371467.2496672077
2055 2374872.4259172077
2056 2378520.8290422074
2057 2381032.44744782
2058 2382650.5080090445
2059 2384268.568570269
2060 2388160.198570269
2061 2391483.436210575
2062 2395618.293085575
2063 2398616.3652411876
2064 2400720.879552412
2065 2402500.2283789422
2066 2406878.3121289425
2067 2410931.230394249
2068 2415552.541019249
2069 2418711.901440167
2070 2421546.0963763916
2071 2423811.8989529223
2072 2428351.270968228
2073 2433702.262218228
2074 2439053.253468228
2075 2441237.117435065
2076 2445694.5508406768
2077 2447796.47619782
2078 2453633.92119782
2079 2458902.9738381263
2080 2464983.6457131263
2081 2350382.880733998
2082 2237487.2928339513
2083 2063804.2075846475
2084 1952045.404403989
2085 1782341.0656725417
2086 1671637.108601577
2087 1498115.3116175788
2088 1386517.7967022264
2089 1213239.226593228
2090 1102696.5577875697
2091 933965.1265561224
2092 765233.6953246754
2093 651116.7951414657
2094 481735.0329406309
2095 309429.3703316327
2096 317291.97998724494
2097 326859.76672193885
2098 335533.995612245
2099 340147.53937500005
2100 348739.82965561235
