first_reactor_decision second_reactor_decision final_reactor_decision chosen_reprocessing_cost chosen_capital_subsidy disposal_cost htgr_capital_cost sfr_capital_cost 2 2 2 1 0 1 1 1
year glcoe
2018 3.089342393320964E9
2019 3.151129241187383E9
2020 3.2129160890538025E9
2021 3.274702936920222E9
2022 3.3673832087198505E9
2023 3.42917005658627E9
2024 3.521850328385899E9
2025 3.614530600185528E9
2026 3.676317448051947E9
2027 3.7689977198515763E9
2028 3.861677991651205E9
2029 3.954358263450834E9
2030 4.047038535250463E9
2031 4.1397188070500917E9
2032 4.232399078849721E9
2033 4.32507935064935E9
2034 4.417759622448978E9
2035 4.519880551697587E9
2036 4.624144447068645E9
2037 4.73055130856215E9
2038 4.839101136178107E9
2039 4.949793929916512E9
2040 5.093523113710574E9
2041 5.206232148934425E9
2042 5.349707883454483E9
2043 5.462163469404329E9
2044 5.605385754650384E9
2045 5.719314194016392E9
2046 5.852819267279722E9
2047 6.017091039839257E9
2048 6.190676745210771E9
2049 6.342908901174911E9
2050 6.409217084547431E9
2051 6.53270155329283E9
2052 6.727337568505124E9
2053 6.89153628394127E9
2054 7.093089816569087E9
2055 7.28721893323337E9
2056 7.481221325260652E9
2057 7.611865407988989E9
2058 7.806363345857691E9
2059 8.000734559089388E9
2060 8.202150014373611E9
2061 8.426451628833449E9
2062 8.650626518656284E9
2063 8.818614065869703E9
2064 9.012847201757809E9
2065 9.237264188148056E9
2066 9.478166074039812E9
2067 9.704345852641502E9
2068 9.960709481745338E9
2069 1.0137746159790138E10
2070 1.0394351885461386E10
2071 1.0650830886495632E10
2072 1.0921525096271936E10
2073 1.1177497198758175E10
2074 1.1463653151746555E10
2075 1.1677653120365429E10
2076 1.1963924445284222E10
2077 1.2250069045566013E10
2078 1.2529558936899693E10
2079 1.284765017989507E10
2080 1.3135304123114296E10
2081 1.3388283623792692E10
2082 1.3706236789444477E10
2083 1.4054373805598406E10
2084 1.4363275846905622E10
2085 1.4720219897323519E10
2086 1.5069739531777882E10
2087 1.5331134540102648E10
2088 1.5710826672352562E10
2089 1.6090392079965477E10
2090 1.6461033087870829E10
2091 1.6847135838988258E10
2092 1.7256124749281303E10
2093 1.756329008244411E10
2094 1.797415715687901E10
2095 1.841520808181605E10
2096 1.8817024031906384E10
2097 1.9264612300347942E10
2098 1.9735086727965115E10
2099 2.008776893669196E10
2100 2.055986807917698E10
