first_reactor_decision second_reactor_decision final_reactor_decision chosen_reprocessing_cost chosen_capital_subsidy disposal_cost htgr_capital_cost sfr_capital_cost 3 3 2 0 1 0 0 0
year glcoe
2018 8.227428125820942E-4
2019 8.537325098874965E-4
2020 8.832581270052422E-4
2021 9.11421023332938E-4
2022 9.383134130593845E-4
2023 9.640193738273118E-4
2024 9.886157247779187E-4
2025 0.0010121727932939925
2026 0.0010329829474929118
2027 0.0010545079054603264
2028 0.0010751844344275656
2029 0.0010929342359635758
2030 0.0011119511932886834
2031 0.0011279692406247184
2032 0.001145531499715171
2033 0.0011600428989881053
2034 0.0011738545099712282
2035 0.0011902338528789681
2036 0.0012047674429122503
2037 0.0012156202048615586
2038 0.0012281901570975757
2039 0.0012374784268557861
2040 0.0012461691110641194
2041 0.0012367739321731898
2042 0.0012276691536788598
2043 0.0012166045322214998
2044 0.0012084767665596844
2045 0.0011937180741622064
2046 0.0011807520489846932
2047 0.001166903921855913
2048 0.0011556730246851735
2049 0.0011430190989576963
2050 0.0011313941085697135
2051 0.001120405384708215
2052 0.0011092412711501151
2053 0.0010982774100145615
2054 0.0010925500558022858
2055 0.0010869567168137334
2056 0.0010815997665016392
2057 0.001071371090171158
2058 0.001064295095642743
2059 0.001058791841664264
2060 0.0010535431715244196
2061 0.001048529315452613
2062 0.0010437320636182757
2063 0.0010342069002768411
2064 0.0010277649671324525
2065 0.0010229968534269393
2066 0.0010184527450632962
2067 0.0010141148728383394
2068 0.0010096965125929824
2069 0.0010024646101901527
2070 9.968240219620339E-4
2071 9.923458334241682E-4
2072 9.889944068282872E-4
2073 9.853100864456437E-4
2074 9.810539047433815E-4
2075 9.744981237610331E-4
2076 9.69305078247998E-4
2077 9.659804067605954E-4
2078 7.857402103715426E-4
2079 7.866925234833523E-4
2080 7.870547673123405E-4
2081 7.851701076462836E-4
2082 7.843611261423575E-4
2083 7.851214220215385E-4
2084 7.8545454848059E-4
2085 7.854634554782876E-4
2086 7.843667151831009E-4
2087 7.810720234969116E-4
2088 7.807419475829378E-4
2089 7.812139387799627E-4
2090 7.81034799558877E-4
2091 7.798757441609475E-4
2092 7.777133352786864E-4
2093 7.749457814411984E-4
2094 7.744605593788141E-4
2095 7.740126520094254E-4
2096 7.725313315295744E-4
2097 7.702204899523014E-4
2098 7.683644073145019E-4
2099 7.663018431695032E-4
2100 7.65993760133525E-4
