first_reactor_decision second_reactor_decision final_reactor_decision chosen_reprocessing_cost chosen_capital_subsidy disposal_cost htgr_capital_cost sfr_capital_cost 3 3 2 1 0 3 1 1
year proliferationresistance
2018 0.7855301052771304
2019 0.7855301052771304
2020 0.7855301052771305
2021 0.7855301052771304
2022 0.7855301052771305
2023 0.7855301052771305
2024 0.7855301052771304
2025 0.7855301052771304
2026 0.7855301052771305
2027 0.7855301052771305
2028 0.7855301052771305
2029 0.7855301052771306
2030 0.7855301052771305
2031 0.7855301052771305
2032 0.7855301052771304
2033 0.7855301052771305
2034 0.7855301052771306
2035 0.7855113362834114
2036 0.7854933734156583
2037 0.7854761658311983
2038 0.785459666874878
2039 0.7854438336566444
2040 0.7854286266792481
2041 0.785414009509267
2042 0.785399948485677
2043 0.7853872436387599
2044 0.7853742626565241
2045 0.7851620136577363
2046 0.785107462416041
2047 0.7851746014244878
2048 0.7852290115323433
2049 0.7852898564398734
2050 0.7853455745404373
2051 0.7851565850650118
2052 0.78509476451236
2053 0.7851572482840812
2054 0.7851660880082555
2055 0.7851745182936267
2056 0.7851825669429225
2057 0.784985464023198
2058 0.784909595357241
2059 0.7849257535087023
2060 0.7849410914969722
2061 0.7849556702218152
2062 0.7849695446992849
2063 0.7847850650936212
2064 0.7846801049610801
2065 0.7847030751140031
2066 0.7847248364564473
2067 0.7847454819629722
2068 0.7847261072505692
2069 0.7845879872664873
2070 0.7844996070213519
2071 0.7845172501152066
2072 0.7845409861317995
2073 0.7845667863009643
2074 0.7845586456624495
2075 0.7844310316129748
2076 0.7843483901762416
2077 0.7843805800382699
2078 0.7843986101475364
2079 0.7844279215672838
2080 0.7844266011937014
2081 0.7843064426062397
2082 0.7842418572936676
2083 0.7842645833489632
2084 0.784262036972002
2085 0.7842405680045144
2086 0.7841555481963847
2087 0.783937977021263
2088 0.7838893407091355
2089 0.7838877898359777
2090 0.7838459101611918
2091 0.783743119484892
2092 0.783572561610627
2093 0.7833586137838766
2094 0.7832883059579133
2095 0.783263103902749
2096 0.7831442048840261
2097 0.7829511371915485
2098 0.7827795919034982
2099 0.7825845291555329
2100 0.7825160177351214
The total proliferation resistance is 65.13460997499894
