first_reactor_decision second_reactor_decision final_reactor_decision chosen_reprocessing_cost chosen_capital_subsidy disposal_cost htgr_capital_cost sfr_capital_cost 2 2 2 1 0 1 1 1
year proliferationresistance
2018 0.3698270058983523
2019 0.3698270058983523
2020 0.3698270058983523
2021 0.3698270058983523
2022 0.3698270058983523
2023 0.3698270058983523
2024 0.3698270058983523
2025 0.3698270058983523
2026 0.3698270058983524
2027 0.3698270058983522
2028 0.3698270058983524
2029 0.36982700589835227
2030 0.3698270058983524
2031 0.36982700589835227
2032 0.3698270058983524
2033 0.3698270058983523
2034 0.3698270058983523
2035 0.36988249030734405
2036 0.36993571182937546
2037 0.3699868061329163
2038 0.37003589825382105
2039 0.3700831036169362
2040 0.3701266704459789
2041 0.3701701840715035
2042 0.37020985138352075
2043 0.37025011045788836
2044 0.3702863551270696
2045 0.3707892357946124
2046 0.37081801985991597
2047 0.3708403076225731
2048 0.37090451728902546
2049 0.3713440034318741
2050 0.37429934032243156
2051 0.37478316345871654
2052 0.37478316345871654
2053 0.37479085227353093
2054 0.3748281841709254
2055 0.3748271325195032
2056 0.37482612887823846
2057 0.3752903911695558
2058 0.3752790975767801
2059 0.375268295941565
2060 0.3752913047152022
2061 0.37527212989709796
2062 0.37525388696853396
2063 0.3756871283071932
2064 0.3756692730360404
2065 0.37564272949946725
2066 0.3756762827237087
2067 0.375650765056714
2068 0.37561770482660767
2069 0.3760278690031469
2070 0.3759866122957268
2071 0.37594731751429616
2072 0.3759616977590539
2073 0.3759247618229424
2074 0.37588102149532543
2075 0.37625627753753366
2076 0.3762058550550993
2077 0.3761578384508574
2078 0.3761889624891263
2079 0.37613507613012737
2080 0.37609185680220203
2081 0.3764339414729981
2082 0.37637712471292434
2083 0.3763148626750507
2084 0.3763313726753963
2085 0.3762925755317245
2086 0.37623664320775846
2087 0.3765543061050913
2088 0.3764863039040838
2089 0.3764217290656815
2090 0.3764198623415874
2091 0.3763769391436278
2092 0.3763127494567734
2093 0.37661609781115685
2094 0.37654822439049423
2095 0.37647707131890507
2096 0.3764679495624868
2097 0.3764169866753496
2098 0.37634809509129075
2099 0.3766356130560092
2100 0.3765636879685321
