first_reactor_decision second_reactor_decision final_reactor_decision chosen_reprocessing_cost chosen_capital_subsidy disposal_cost htgr_capital_cost sfr_capital_cost 2 2 3 1 0 1 1 1
year ulcoe
0 3.3006794306508068E10
1 3.3666930192638226E10
2 3.4327066078768387E10
3 3.629275243312103E10
4 3.858850673053876E10
5 4.05541930848914E10
6 4.284994738230914E10
7 4.51457016797269E10
8 4.711138803407957E10
9 4.940714233149732E10
10 5.170289662891508E10
11 5.399865092633284E10
12 5.6294405223750595E10
13 5.859015952116835E10
14 6.0885913818586105E10
15 6.318166811600386E10
16 6.5477422413421616E10
17 6.793804739770869E10
18 7.038708911104887E10
19 7.283086096590428E10
20 7.527177432247752E10
21 7.771109229981949E10
22 8.047965522180313E10
23 8.161002574693436E10
24 8.306826132491447E10
25 8.41945039836336E10
26 8.567979622300229E10
27 8.707488382772476E10
28 8.815338577060611E10
29 8.970698168686435E10
30 9.095725414819748E10
31 9.264267206882903E10
32 9.432872346823607E10
33 9.584739781761792E10
34 9.728527164476553E10
35 9.897198206090729E10
36 1.0073161555188693E11
37 1.024861251969722E11
38 1.0406969578899606E11
39 1.0594164646652579E11
40 1.0777198052979073E11
41 1.0985001010130783E11
42 1.1192709462425494E11
43 1.1371223755046072E11
44 1.1570459918806064E11
45 1.1769533122435251E11
46 1.2004199677435912E11
47 1.222860919050453E11
48 1.2453018703573148E11
49 1.2680360122957233E11
50 1.291716165934893E11
51 1.3144655521166591E11
52 1.3390282800794333E11
53 1.3638691247928967E11
54 1.389796917279655E11
55 1.4158402306304745E11
56 1.4430065500691837E11
57 1.4693233181930698E11
58 1.496860752192896E11
59 1.52570137662757E11
60 1.2940808406772462E11
61 1.3238624083028624E11
62 1.3544144650962799E11
63 1.3844216612785873E11
64 1.4155156723755286E11
65 1.4485676670986288E11
66 1.482215938671616E11
67 1.5166369264071872E11
68 1.5514944005360568E11
69 1.5854480849801492E11
70 1.621975134847645E11
71 1.6612125589122263E11
72 1.7007388689814407E11
73 1.74078217538673E11
74 1.7803802952950613E11
75 1.8190658999309283E11
76 1.8607468145986377E11
77 1.9042305424378174E11
78 1.948699581263696E11
79 1.992999228304528E11
80 2.0386153540283246E11
81 2.0838382532829266E11
82 2.1315552514686523E11
